publishTime,startTime,generation,horizon_hours
2024-01-01 22:30:00+00:00,2024-01-02 22:00:00+00:00,11435,23.5
2024-01-02 02:30:00+00:00,2024-01-02 22:00:00+00:00,11389,19.5
2024-01-02 04:30:00+00:00,2024-01-02 22:00:00+00:00,11398,17.5
2024-01-02 07:30:00+00:00,2024-01-02 22:00:00+00:00,11459,14.5
2024-01-02 09:30:00+00:00,2024-01-02 22:00:00+00:00,11463,12.5
2024-01-02 11:30:00+00:00,2024-01-02 22:00:00+00:00,11462,10.5
2024-01-02 15:30:00+00:00,2024-01-02 22:00:00+00:00,11946,6.5
2024-01-02 18:30:00+00:00,2024-01-02 22:00:00+00:00,12280,3.5
2024-01-01 02:30:00+00:00,2024-01-02 23:00:00+00:00,11609,44.5
2024-01-01 04:30:00+00:00,2024-01-02 23:00:00+00:00,11607,42.5
2024-01-01 07:30:00+00:00,2024-01-02 23:00:00+00:00,11783,39.5
2024-01-01 09:30:00+00:00,2024-01-02 23:00:00+00:00,11782,37.5
2024-01-01 11:30:00+00:00,2024-01-02 23:00:00+00:00,11738,35.5
2024-01-01 15:30:00+00:00,2024-01-02 23:00:00+00:00,11785,31.5
2024-01-01 18:30:00+00:00,2024-01-02 23:00:00+00:00,11268,28.5
2024-01-01 22:30:00+00:00,2024-01-02 23:00:00+00:00,11268,24.5
2024-01-02 02:30:00+00:00,2024-01-02 23:00:00+00:00,11389,20.5
2024-01-02 04:30:00+00:00,2024-01-02 23:00:00+00:00,11399,18.5
2024-01-02 07:30:00+00:00,2024-01-02 23:00:00+00:00,11613,15.5
2024-01-02 09:30:00+00:00,2024-01-02 23:00:00+00:00,11616,13.5
2024-01-02 11:30:00+00:00,2024-01-02 23:00:00+00:00,11613,11.5
2024-01-02 15:30:00+00:00,2024-01-02 23:00:00+00:00,12054,7.5
2024-01-02 18:30:00+00:00,2024-01-02 23:00:00+00:00,12288,4.5
2024-01-02 22:30:00+00:00,2024-01-02 23:00:00+00:00,12296,0.5
2024-01-01 02:30:00+00:00,2024-01-03 00:00:00+00:00,11505,45.5
2024-01-01 04:30:00+00:00,2024-01-03 00:00:00+00:00,11503,43.5
2024-01-01 07:30:00+00:00,2024-01-03 00:00:00+00:00,11662,40.5
2024-01-01 09:30:00+00:00,2024-01-03 00:00:00+00:00,11660,38.5
2024-01-01 11:30:00+00:00,2024-01-03 00:00:00+00:00,11633,36.5
2024-01-01 15:30:00+00:00,2024-01-03 00:00:00+00:00,11654,32.5
2024-01-01 18:30:00+00:00,2024-01-03 00:00:00+00:00,11246,29.5
2024-01-01 22:30:00+00:00,2024-01-03 00:00:00+00:00,11246,25.5
2024-01-02 02:30:00+00:00,2024-01-03 00:00:00+00:00,11329,21.5
2024-01-02 04:30:00+00:00,2024-01-03 00:00:00+00:00,11336,19.5
2024-01-02 07:30:00+00:00,2024-01-03 00:00:00+00:00,11564,16.5
2024-01-02 09:30:00+00:00,2024-01-03 00:00:00+00:00,11566,14.5
2024-01-02 11:30:00+00:00,2024-01-03 00:00:00+00:00,11558,12.5
2024-01-02 15:30:00+00:00,2024-01-03 00:00:00+00:00,11999,8.5
2024-01-02 18:30:00+00:00,2024-01-03 00:00:00+00:00,12210,5.5
2024-01-02 22:30:00+00:00,2024-01-03 00:00:00+00:00,12215,1.5
2024-01-01 02:30:00+00:00,2024-01-03 01:00:00+00:00,11352,46.5
2024-01-01 04:30:00+00:00,2024-01-03 01:00:00+00:00,11350,44.5
2024-01-01 07:30:00+00:00,2024-01-03 01:00:00+00:00,11485,41.5
2024-01-01 09:30:00+00:00,2024-01-03 01:00:00+00:00,11483,39.5
2024-01-01 11:30:00+00:00,2024-01-03 01:00:00+00:00,11446,37.5
2024-01-01 15:30:00+00:00,2024-01-03 01:00:00+00:00,11401,33.5
2024-01-01 18:30:00+00:00,2024-01-03 01:00:00+00:00,11115,30.5
2024-01-01 22:30:00+00:00,2024-01-03 01:00:00+00:00,11114,26.5
2024-01-02 02:30:00+00:00,2024-01-03 01:00:00+00:00,11205,22.5
2024-01-02 04:30:00+00:00,2024-01-03 01:00:00+00:00,11206,20.5
2024-01-02 07:30:00+00:00,2024-01-03 01:00:00+00:00,11345,17.5
2024-01-02 09:30:00+00:00,2024-01-03 01:00:00+00:00,11347,15.5
2024-01-02 11:30:00+00:00,2024-01-03 01:00:00+00:00,11353,13.5
2024-01-02 15:30:00+00:00,2024-01-03 01:00:00+00:00,11753,9.5
2024-01-02 18:30:00+00:00,2024-01-03 01:00:00+00:00,11933,6.5
2024-01-02 22:30:00+00:00,2024-01-03 01:00:00+00:00,11935,2.5
2024-01-01 02:30:00+00:00,2024-01-03 02:00:00+00:00,11200,47.5
2024-01-01 04:30:00+00:00,2024-01-03 02:00:00+00:00,11198,45.5
2024-01-01 07:30:00+00:00,2024-01-03 02:00:00+00:00,11314,42.5
2024-01-01 09:30:00+00:00,2024-01-03 02:00:00+00:00,11312,40.5
2024-01-01 11:30:00+00:00,2024-01-03 02:00:00+00:00,11267,38.5
2024-01-01 15:30:00+00:00,2024-01-03 02:00:00+00:00,11190,34.5
2024-01-01 18:30:00+00:00,2024-01-03 02:00:00+00:00,10846,31.5
2024-01-01 22:30:00+00:00,2024-01-03 02:00:00+00:00,10844,27.5
2024-01-02 02:30:00+00:00,2024-01-03 02:00:00+00:00,11000,23.5
2024-01-02 04:30:00+00:00,2024-01-03 02:00:00+00:00,11001,21.5
2024-01-02 07:30:00+00:00,2024-01-03 02:00:00+00:00,11243,18.5
2024-01-02 09:30:00+00:00,2024-01-03 02:00:00+00:00,11244,16.5
2024-01-02 11:30:00+00:00,2024-01-03 02:00:00+00:00,11246,14.5
2024-01-02 15:30:00+00:00,2024-01-03 02:00:00+00:00,11613,10.5
2024-01-02 18:30:00+00:00,2024-01-03 02:00:00+00:00,11731,7.5
2024-01-02 22:30:00+00:00,2024-01-03 02:00:00+00:00,11736,3.5
2024-01-01 04:30:00+00:00,2024-01-03 03:00:00+00:00,11047,46.5
2024-01-01 07:30:00+00:00,2024-01-03 03:00:00+00:00,11150,43.5
2024-01-01 09:30:00+00:00,2024-01-03 03:00:00+00:00,11148,41.5
2024-01-01 11:30:00+00:00,2024-01-03 03:00:00+00:00,11115,39.5
2024-01-01 15:30:00+00:00,2024-01-03 03:00:00+00:00,11001,35.5
2024-01-01 18:30:00+00:00,2024-01-03 03:00:00+00:00,10570,32.5
2024-01-01 22:30:00+00:00,2024-01-03 03:00:00+00:00,10568,28.5
2024-01-02 02:30:00+00:00,2024-01-03 03:00:00+00:00,10730,24.5
2024-01-02 04:30:00+00:00,2024-01-03 03:00:00+00:00,10740,22.5
2024-01-02 07:30:00+00:00,2024-01-03 03:00:00+00:00,10909,19.5
2024-01-02 09:30:00+00:00,2024-01-03 03:00:00+00:00,10908,17.5
2024-01-02 11:30:00+00:00,2024-01-03 03:00:00+00:00,10902,15.5
2024-01-02 15:30:00+00:00,2024-01-03 03:00:00+00:00,11390,11.5
2024-01-02 18:30:00+00:00,2024-01-03 03:00:00+00:00,11587,8.5
2024-01-02 22:30:00+00:00,2024-01-03 03:00:00+00:00,11588,4.5
2024-01-01 04:30:00+00:00,2024-01-03 04:00:00+00:00,10862,47.5
2024-01-01 07:30:00+00:00,2024-01-03 04:00:00+00:00,10893,44.5
2024-01-01 09:30:00+00:00,2024-01-03 04:00:00+00:00,10892,42.5
2024-01-01 11:30:00+00:00,2024-01-03 04:00:00+00:00,10874,40.5
2024-01-01 15:30:00+00:00,2024-01-03 04:00:00+00:00,10621,36.5
2024-01-01 18:30:00+00:00,2024-01-03 04:00:00+00:00,10306,33.5
2024-01-01 22:30:00+00:00,2024-01-03 04:00:00+00:00,10304,29.5
2024-01-02 02:30:00+00:00,2024-01-03 04:00:00+00:00,10454,25.5
2024-01-02 04:30:00+00:00,2024-01-03 04:00:00+00:00,10453,23.5
2024-01-02 07:30:00+00:00,2024-01-03 04:00:00+00:00,10446,20.5
2024-01-02 09:30:00+00:00,2024-01-03 04:00:00+00:00,10446,18.5
2024-01-02 11:30:00+00:00,2024-01-03 04:00:00+00:00,10446,16.5
2024-01-02 15:30:00+00:00,2024-01-03 04:00:00+00:00,10971,12.5
2024-01-02 18:30:00+00:00,2024-01-03 04:00:00+00:00,11285,9.5
2024-01-02 22:30:00+00:00,2024-01-03 04:00:00+00:00,11286,5.5
2024-01-01 07:30:00+00:00,2024-01-03 05:00:00+00:00,10638,45.5
2024-01-01 09:30:00+00:00,2024-01-03 05:00:00+00:00,10637,43.5
2024-01-01 11:30:00+00:00,2024-01-03 05:00:00+00:00,10630,41.5
2024-01-01 15:30:00+00:00,2024-01-03 05:00:00+00:00,10310,37.5
2024-01-01 18:30:00+00:00,2024-01-03 05:00:00+00:00,9821,34.5
2024-01-01 22:30:00+00:00,2024-01-03 05:00:00+00:00,9821,30.5
2024-01-02 02:30:00+00:00,2024-01-03 05:00:00+00:00,9885,26.5
2024-01-02 04:30:00+00:00,2024-01-03 05:00:00+00:00,9886,24.5
2024-01-02 07:30:00+00:00,2024-01-03 05:00:00+00:00,9948,21.5
2024-01-02 09:30:00+00:00,2024-01-03 05:00:00+00:00,9947,19.5
2024-01-02 11:30:00+00:00,2024-01-03 05:00:00+00:00,9942,17.5
2024-01-02 15:30:00+00:00,2024-01-03 05:00:00+00:00,10549,13.5
2024-01-02 18:30:00+00:00,2024-01-03 05:00:00+00:00,10886,10.5
2024-01-02 22:30:00+00:00,2024-01-03 05:00:00+00:00,10886,6.5
2024-01-01 07:30:00+00:00,2024-01-03 06:00:00+00:00,10385,46.5
2024-01-01 09:30:00+00:00,2024-01-03 06:00:00+00:00,10385,44.5
2024-01-01 11:30:00+00:00,2024-01-03 06:00:00+00:00,10385,42.5
2024-01-01 15:30:00+00:00,2024-01-03 06:00:00+00:00,10019,38.5
2024-01-01 18:30:00+00:00,2024-01-03 06:00:00+00:00,9441,35.5
2024-01-01 22:30:00+00:00,2024-01-03 06:00:00+00:00,9440,31.5
2024-01-02 02:30:00+00:00,2024-01-03 06:00:00+00:00,9399,27.5
2024-01-02 04:30:00+00:00,2024-01-03 06:00:00+00:00,9405,25.5
2024-01-02 07:30:00+00:00,2024-01-03 06:00:00+00:00,9460,22.5
2024-01-02 09:30:00+00:00,2024-01-03 06:00:00+00:00,9459,20.5
2024-01-02 11:30:00+00:00,2024-01-03 06:00:00+00:00,9457,18.5
